Czas,Mowca,Tekst
"23:01","Mowca 1","Tak samo myjka pojemniku, jeśli to pomieszczenie będzie pełniło funkcję myjni i tam będzie jakaś myjka, to nieważne jaka to myjka będzie."
"23:08","Mowca 2","Myjka automatyczna, a nie piszemy, że myjka automatyczna nowicki."
"23:12","Mowca 2","Jeszcze coś wam powiem."
"23:13","Mowca 2","W Poznaniu projektant zrobił na wielki zakład projekt i napisał tak."
"23:18","Mowca 2","Droga technologiczna pojemników białych, droga technologiczna pojemników czerwonych i droga technologiczna pojemników zielonych."
"23:24","Mowca 2","I teraz za 3 lata właściciel firmy dostał ofertę na pojemniki w innych kolorach,"
"23:29","Mowca 3","które były połowy tańsze."
"23:29","Mowca 0","Czyli my będziemy mieć tylko pojemniki E2, nie?"
"23:31","Mowca 2","Tak."
"23:32","Mowca 2","Kupił pojemniki, weternaria przyjeżdża, panie, trzeba robić całą aktualizację projektu."
"23:36","Mowca 2","Jak najbardziej uniwersalnie."
"23:39","Mowca 2","Uniwersalnie."
"23:41","Mowca 3","OK, uniwersalnie."
"23:43","Mowca 3","A jeżeli chodzi o mapy, to dokładnie dostajemy 4, bo tak w ofercie chyba było."
"23:47","Mowca 2","Dostajecie cztery mapy, bo to musi być tak, sytuacyjno-wysokościowa, układ maszyn i urządzeń i parametry, drogi technologiczne i strefy."
"24:02","Mowca 3","I to jest standard czy można więcej?"
"24:04","Mowca 1","To jest standard, bo chodzi o to, że te mapy są z rozporządzenia weterynaryjnego, przy czym one będą już dostosowane dla bardzo wielu osób."
"24:14","Mowca 3","Ale są jeszcze jakieś inne mapy?"
"24:17","Mowca 2","Nie, chodzi o to, że tam jak będzie BRC, to na tych mapach będą rzucone podziały, wydzielone strefy wysokiego ryzyka i rzucony ten podział to jest w normie BRC jeszcze."
"24:27","Mowca 3","Jasne, jasne."
"24:28","Mowca 2","Będzie to od razu zrobione."
"24:30","Mowca 2","Jeśli nie będzie zakład robiony pod BRC, No to wtedy nie ma sensu tego robić, ale jak na przykład Pan podejmie, bo dlaczego ja mówię, no fajnie byłoby, gdyby Pan wiedział, już robiąc ten projekt, no bo po prostu byśmy te mapy, mówię, nie patrząc tam na cenę, to już byśmy to dorysowali wszystko, tak, żeby było spójne."
"24:49","Mowca 2","A, no, tak mówiąc szczerze, to jeśli chodzi o to, co wiemy, co jest na rynku i co w tej chwili rozmawiamy z klientami, no to Chyba jeśli tam o jakiejkolwiek sieci myślicie, to już chyba nie ma wyjścia, tak?"
"25:02","Mowca 2","No bo..."
"25:02","Mowca 3","Policja prowadził też IFS-a teraz."
"25:05","Mowca 2","Od sierpnia już w ogóle żadna sieć nie podejmie rozmowy, jak nie będziecie mieli certyfikatu, tak?"
"25:10","Mowca 2","No to już..."
"25:12","Mowca 2","To już jeśli jest założenie takie, że chcecie wchodzić do jakiejś sieci, to już nie ma zastanawiania się, czy będziemy się certyfikować, czy nie, tylko..."
"25:22","Mowca 2","to już się trzeba certyfikować."
"25:24","Mowca 2","Bo jest po prostu w tej chwili walka, bo wszyscy się certyfikują."
"25:29","Mowca 3","A jeżeli chodzi o przyłącza, to w tych mapkach są, będą dokładane?"
"25:34","Mowca 2","Przyłącza są, już mówię, przyłącza są na mapie sytuacyjno-wysokościowej."
"25:39","Mowca 2","Możemy zrobić przyłącze wody i odejście kanalizacji."
"25:44","Mowca 1","Mapa sytuacyjno-wysokościowa to jest mapa terenu, tak?"
"25:47","Mowca 1","I to też musimy dostać od..."
"25:50","Mowca 3","Ale gaz też tam będzie, bo my grzejemy gazem."
"25:52","Mowca 2","Możemy wam to jeszcze gazu zrobić, ale nie jest wymagane przepisowo."
"25:55","Mowca 2","Nie jest wymagane w rozporządzeniu, ale ja mogę prysować."
"25:58","Mowca 3","Dla naszej informacji w sumie."
"26:00","Mowca 2","Dla mnie to jest żaden problem."
"26:03","Mowca 2","Ja mam gorszy problem tam z panem Tokarkiem, bo potem jadę, a on mówi, no ale to nie jest rozporządzenie, to po co mi pan to rysuje, panu rzuci."
"26:10","Mowca 2","Ja mówię, no ale tam mówię, szefostwo chcę, no bo chcę, żeby było widać, gdzie ten gaz dochodzi."
"26:15","Mowca 2","No dobra, no to niech zostanie."
"26:16","Mowca 2","No tak."
"26:17","Mowca 3","Dla własnej wiedzy nawet."
"26:19","Mowca 3","No bo i też z te chłodnictwo dojdzie, tak?"
"26:22","Mowca 3","Czyli chodzi o to, że tam ogólnie zmieniamy o 180 trochę stopni to wszystko."
"26:27","Mowca 3","Ale mi się wydaje, że jakbyście..."
"26:28","Mowca 0","Czy znaczenie pomieszczeń, niektóre będą w ogóle pomieszczenia..."
"26:31","Mowca 3","No, celury..."
"26:31","Mowca 2","No to normalne, no to zawsze."
"26:33","Mowca 3","A dobrze, ale chodzi o to, że tak, że my do końca maja mi się wydaje, że będziemy mieli..."
"26:37","Mowca 3","Znaczy koniec maja będziemy mieli to gotowe, więc najwyżej jeżeli my się zdecydujemy na współpracę, to do końca maja można zostawić na koniec tamte pomieszczenia."
"26:45","Mowca 0","Tak, bo tam będzie i powietrze."
"26:47","Mowca 2","Znaczy zanim cokolwiek zaczniecie robić, to jest dobrze zacząć rysować projekt, żebyście wiedzieli jak to zrobić, bo są takie sytuacje, że my wchodzimy na zakład, ludzie porobią inwestycje, tu zrobią rozdzielnię elektryczną, tu zrobią stację udartania wody, my rysujemy projekt i mówimy Jezus Maria, tak nie może być."
"27:04","Mowca 2","i facet ostatnio byliśmy, to 280 tysięcy, cała stacja uzdatnienia wody, wszystko do rozwałki, do przenoszenia."
"27:11","Mowca 2","Także trzeba rysować projekt i myśleć, jak wy chcecie, wy nam powiecie, jak chcecie te pomieszczenia ułożyć, my je układamy i mówimy, czy to gra."
"27:20","Mowca 2","A jak na przykład takie pomieszczenie tam nie gra, to my od razu mówimy, że w tym miejscu nie może być i my to planujemy."
"27:25","Mowca 2","I ma pan narysowany projekt, już układ pomieszczeń i pan dopiero wchodzi z remontami, z pracami remontowymi na produkcję, nie wcześniej."
"27:33","Mowca 2","Bo zrobi pan coś na produkcji i potem będzie pan to wszystko rozwalał."
"27:36","Mowca 2","Tak jest najczęściej."
"27:38","Mowca 3","Jak podpiszemy z nimi umowę, to jeżeli my też tutaj z wami coś podpiszemy..."
"27:42","Mowca 2","Trzeba projekt najpierw zrobić, żeby nie robić dwa razy."
"27:45","Mowca 2","Nie rozbijać, nie niszczyć pracy."
"27:47","Mowca 3","Dwa razy nie robić."
"27:48","Mowca 1","Bo jeśli chodzi o chłodnictwo, to ta firma chłodnicza, oni też robią swój projekt, gdzie będzie tylko instalacja chłodnika."
"27:53","Mowca 3","Jasne, był tam projekt."
"27:54","Mowca 2","Tak, tak, tak."
"27:56","Mowca 3","Ale ten nasz dach, to raczej dwa piętra będą, tak normalnie."
"28:05","Mowca 2","Wszystkie, każda kondygnacja, tak jak tutaj."
"28:07","Mowca 1","Tak, jak tu jest cały parter, na przykład piętro, szatnie, co tam jest na piętrze rozrysowane."
"28:12","Mowca 3","I drugie piętro, na przykład na tym poddaszu, gdzie jest nad produkcją, to też tam wszystko będzie."
"28:16","Mowca 2","Jeśli tam jest jakieś piętro, są jakiekolwiek pomieszczenia dojścia ludzi, no to wtedy musi być na wysokości."
"28:27","Mowca 3","Mamy pytanie, bo na tej mapie sytuacyjnej..."
"28:32","Mowca 0","Przepraszam bardzo, wyjdziesz na chwilkę, to na"
"28:34","Mowca 1","sekundę tylko bym Ci potrzebowała."
"28:36","Mowca 0","To wyskocz na sekundę."
"28:38","Mowca 3","Już idę, już idę."
"28:40","Mowca 3","Chodzi o to, że na tej mapce sytuacyjnej, ona będzie musiała cały ten obszar..."
"28:44","Mowca 3","Tak."
"28:45","Mowca 3","I pytanie, czyli ta oczyszczalnia, te wszystkie pomieszczenia będą uwzględnione, tak?"
"28:51","Mowca 2","Znaczy, to ona ma te sytuacyjno-wysokościowe i jak Pan nam ją da, to one będą wyrysowane, ale tutaj prawdopodobnie zrobimy tak, że przecież dostaniemy ją od Pana w wersji elektronicznej."
"28:59","Mowca 2","Oczyszczalnia to jest jak inna inwestycja, tylko nie produkcja."
"29:02","Mowca 2","Oczyszczalnia będzie tylko pokazana, tak?"
"29:04","Mowca 2","I ona jest wyrysowana, by ją..."
"29:05","Mowca 2","Że"
"29:05","Mowca 0","jest i jest usytuowana konkretnie w tym miejscu, tak?"
"29:08","Mowca 2","Tak, jest usytuowana w tym miejscu."
"29:09","Mowca 2","No my musimy wjazdy zrobić, drogi według"
"29:11","Mowca 0","zakładu..."
"29:12","Mowca 0","Znaczy, to będzie tak, jak wjeżdża powiedzmy kurczak, żywiec i po kolei będzie przyjęcie, jak się odbywa w tej technologii."
"29:19","Mowca 2","Ja powiem tak, też Państwu się nie martwcie."
"29:22","Mowca 0","Za pomocą czego jest rozładowywane, ilu pracowników, zatrudnienie, ile kobiet, ile mężczyzn, ile sraczy, ile tego, tak."
"29:28","Mowca 2","Jak pan nam da mapę sytuacyjno-wysokościową i tam będą niezgodności, że ma pan inny wjazd, inny przejazd, ja się tym nie przejmuję, bo my to wszystko, my to wszystko, my mamy narzędzia, my tą mapę przelisujemy i ją zrobimy."
"29:40","Mowca 3","Okej, to zakończmy."
"29:41","Mowca 2","To tylko o to chodzi, żebyśmy dostali ten podkład, Pan nam przesyła ten podkład, on jest nieaktualny, nie ma bram wjazdowych, nie ma ten, tam gdzieś jest hydrofornia i nie ma..."
"29:51","Mowca 2","Żaden problem."
"29:52","Mowca 2","My to wszystko wyrysujemy, dorysujemy tak, żeby było dobrze."
"29:54","Mowca 2","Dobra, dobra."
"29:55","Mowca 3","Dajcie mi pół minutki, pojeżdżaj i przyszła do mnie."
"29:58","Mowca 3","Ciągle"
"30:03","Mowca 2","coś no, wiesz, na takim..."
"30:05","Mowca 0","Ciągle dużo pracy."
"30:07","Mowca 0","Ciężko, ale coś jest tam."
"30:09","Mowca 2","Ale teraz jest takie czasy, że kto nie inwestuje, to się nie rozwija, to się zwija."
"30:15","Mowca 0","Tak, ale wie pan, też nie można zrobić tak, że rzucić się i za chwilę padnąć, nie?"
"30:22","Mowca 0","W tej chwili najważniejsze faktycznie jest chłodzenie, gdzie teraz już, wiem, wchodzą z tym chłodzeniem, a później dalej to patroszenie jest tam na wrzesień, październik chyba tak jest przygotowywane."
"30:35","Mowca 0","To jak się zdecydują, myślę, że się zdecydują, to przejdziemy, powiemy, no jak my tutaj z naszej strony, jako, jako mnie powiedzmy, technologa i pana Łukasza, który jest tutaj już 20 lat, tutaj w bojni, co jest i jak to ma wyglądać."
"30:49","Mowca 2","No tak, jak powiecie, ważną wizję my tu wrysujemy, to mówię, to to jest spotkanie tych rysunków roboty."
"30:54","Mowca 0","Bo jest tam jakaś powiedzmy jeszcze z danych czasów produkcja MOM-u."
"30:58","Mowca 0","My tego nie robimy, są pomieszczenia i chcemy je zlikwidować, żeby było kosztem."
"31:01","Mowca 2","Można na coś innego to powiedzieć."
"31:02","Mowca 0","Chcemy zwiększyć halę na przykład tam na,"
"31:06","Mowca 2","Generalnie ilość drobiu na rynku jest potrzebowanie coraz większe, bo jest konsumpcja, ale powstaje też dużo zakładów, które robią żywność gotową i one też duże ilości drobiu skupują."
"31:23","Mowca 0","Zaraz będzie to się ludzi zmieniać, tak?"
"31:24","Mowca 2","Tak."
"31:25","Mowca 2","Także tutaj drobiarstwo to ja myślę, że bardzo pozytywnie i warto inwestować, bo Myślę, że drogi będzie szło coraz więcej na rynek, tak."
"31:38","Mowca 0","Też na pewno będziemy szli, na tą chwilę tam jest powiedzmy z weterynarii 90 tysięcy tygodniowo, codziennie, źle mówię, 450 jest sztuk do uboju na tydzień, a myślę, że po włożeniu tej maszyny albo wejdziemy na dwie zmiany, to i tak musimy zwiększyć zdolność produkcyjną."
"31:59","Mowca 2","Zwiększamy, to my będziemy panu serwisowi też mówili, że po prostu bezwzględnie, bo teraz tak, Jeśli opasowujemy ten projekt nowy, robimy aktualizację, to ja tutaj jeszcze takie dość istotne rzeczy z Panią Syną poproszę, bo jeśli my robimy aktualizację projektu, ja zdaję do weterynarii aktualizację projektu, to ja będę z Panem rozmawiał i będę Państwa namawiał, żebyście Państwo od razu zwiększyli sobie zdolności produkcyjne."
"32:27","Mowca 2","Bo teraz o co chodzi?"
"32:28","Mowca 3","Pozwolenie zintegrowane, tak?"
"32:31","Mowca 0","Nie, nie."
"32:31","Mowca 0","To chodzi o to, że mamy 450 tysięcy, możemy ubić je w tygodniu."
"32:36","Mowca 2","Ale musisz sobie założyć, że coś więcej."
"32:39","Mowca 3","No tak, no to raczej ta zintegrowana decyzja, czy jak to się nazywa?"
"32:42","Mowca 3","Gdzie woda, sztuki..."
"32:45","Mowca 2","Nie, posłuchajcie, spokojnie."
"32:47","Mowca 2","Zakład pod względem prawnym pracuje na dwóch podstawowych dokumentach."
"32:52","Mowca 2","Decyzja zatwierdzająca projekt aktualny, na którym jest wydawana decyzja administracyjna przez powiatowego lekarza weternarii i decyzja zatwierdzająca zakład."
"33:00","Mowca 2","W decyzji zatwierdzającej zakład powiatowy lekarz weternarii wpisuje, co ten zakład może robić i w jakich ilościach."
"33:07","Mowca 2","I teraz tak, jeśli ja robię projekt technologiczny, to ja mogę zrobić zmiany polegające na tym, że ja mogę w sposób uzasadniony zwiększyć zdolność produkcyjną tego zakładu, czy jeśli pan planuje zwiększyć, to jest projekt, to będziemy myśleć, czy zwiększyć 20% parcel, czy 30, czy 40, ale ja to od razu, to zwiększenie planuję."
"33:28","Mowca 0","Tutaj, żeby nie było później zmian."
"33:29","Mowca 2","Zdaję ten projekt i piszę, że u państwa Piórkowskich produkcja nie będzie taka, tylko będzie 30% większa, Lekarz zatwierdza projekt, Pan wykonuje te zmiany na produkcji i ja, jak Pan je zmieni, to ja piszę drugie pismo, że w związku z aktualizacją projektu, na które została wydana decyzja, numer taki i taki, zwracam się z uprzejmą prośbą o zmianę decyzji zatwierdzającej zakład, polegającej na zmianie zdolności produkcyjnej zakładu."
"33:57","Mowca 2","I powiatowy wydaje drugą decyzję, na której jest napisana duża, większa zdolność produkcyjna zakładu."
"34:02","Mowca 2","Bo teraz tak, zacznie Pan współpracę z Lidlem, I załóżmy, że mamy audyt certyfikujący i załóżmy, że ten audyt się tak potoczy, no ma Pan ocenę A, najlepszą."
"34:14","Mowca 2","I w tym momencie jako taki klient z oceną A, a ja mam takich klientów w Polsce, ma Pan na przykład prawo wejścia, jak Pan wejdzie do, do Aldiego, ma Pan prawo wejścia na przykład na wszystkie markety w Niemczech, tak?"
"34:28","Mowca 2","Ale oni do Pana przyjadą i patrzą jaką ma Pan zdolność produkcyjną."
"34:32","Mowca 2","No bo jak ma Pan zdolność produkcyjną, że firma taka tam, nie wiem, bili sobie dziennie, no mały zakład, no to mówię, no czym by do ludzi, tak?"
"34:42","Mowca 2","A jak Pan pokaże tę decyzję, tam jest więcej napisane, no to znaczy, że jesteście dużym graczem i wchodzicie."
"34:47","Mowca 2","No co tu dużo mówić, tak?"
"34:49","Mowca 1","Nawet Pan będzie miał możliwość produkowania więcej, a Pana będzie ograniczała aktywizację."
"34:54","Mowca 2","Natomiast Panie serwiszu, druga sprawa."
"34:57","Mowca 2","Jak nie zrobimy zwiększenia tej mocy produkcyjnej zakładu przy tym projekcie i palce tę mocę zwiększyć, tak?"
"35:04","Mowca 2","to przychodzi np."
"35:05","Mowca 2","do pana Jeronimo Martins i mówi, no ale wy macie taką małą moc produkcyjną."
"35:09","Mowca 2","No dobra, no to my zwiększymy 30%."
"35:11","Mowca 2","Pan jedzie do lekarza powiatowego, on mówi, no ale ja panu zwiększę na jakiej podstawie?"
"35:16","Mowca 2","No pan musi mi przedstawić konkretne podstawy, ja muszę mieć konkretne dowody, co pan w tym zakładzie zrobił, że ta zdolność została zwiększona."
"35:24","Mowca 2","A robiąc ten projekt, no to ja te dowody przedstawię, tak?"
"35:28","Mowca 2","Bez problemu."
"35:29","Mowca 1","Będą nowe maszyny."
"35:30","Mowca 3","No właśnie."
"35:30","Mowca 2","Bezproblemowo."
"35:31","Mowca 2","To ja to tak opiszę, że po prostu tam będzie tak zrobione, że bezproblemowo i dlatego musimy od razu sobie pomyśleć, to będziemy rozmawiać, ustalać."
"35:40","Mowca 1","Żeby zwiększyć tą zdolność już taką na przyszłość, tak?"
"35:42","Mowca 2","Tak."
"35:43","Mowca 2","Będzie tam umowa, w umowie będzie napisane tam zdolność ma jakąś tam, zakład ma jakąś zdolność."
"35:48","Mowca 2","Tym się nie sugerujecie, bo ja jak będę robił projekt, to przed oddawanie projektu tak naprawdę zawsze ustalamy ile osób, jaka zdolność, jakie cyfry pisać."
"35:59","Mowca 2","To ustalamy zawsze między sobą, tak żebyście byli zadowoleni i ja też zawsze podpowiadam, doradzam, to co mogę."
"36:10","Mowca 3","I legendy, czyli ja widziałem, że tutaj było też..."
"36:13","Mowca 2","Nie no, no to zostało."
"36:14","Mowca 3","Bo ja właśnie nie widziałem tego, zapomniałem właśnie."
"36:18","Mowca 2","Panie serdeczny, ma pan..."
"36:21","Mowca 2","I nawet kolorowo."
"36:22","Mowca 2","Ma pan, to jest tak, że jak pan weźmie ten katalog projekty i tu jest napisane, że nasz projekt zawiera, to to, co ten nasz projekt zawiera, to wszystko pan dostanie w tym projekcie."
"36:33","Mowca 0","To też musi tak być zrobione, że dostajesz projekt, Jako powiedzmy człowiek niezwiązany i umiesz go czytać."
"36:40","Mowca 2","Tak, tak, dokładnie."
"36:43","Mowca 3","No bo może to jest właśnie większość odpowiedzi na moje pytania w sumie."
"36:46","Mowca 3","To ja sobie później przejrzę na pewno."
"36:48","Mowca 2","Ja myślę, że w tym projekcie znacznie więcej niż pan sądzi, bo rzeczywiście pana pytania są podstawne."
"36:54","Mowca 0","Jak są drzwi otwierane, wszystko musi być tak samo."
"36:56","Mowca 2","Drzwi, kierunki, szerokości drzwi, wyjścia ewakuacyjne, bo do czego ja zmierzam."
"37:03","Mowca 2","Ja wiem, że są firmy, gdzie przyjeżdżają i projektant budowlany, który całe ściedlonki jednorodzinne rysował, szuka chleba, bo to jest normalne i przyjeżdża do zakładu i mówi, że zrobi projekt technologiczny."
"37:14","Mowca 2","I daje panu mapę, gdzie jest tysiąc rzeczy narysowanych, a z tych tysiąca rzeczy pana to nie interesuje technologicznie."
"37:22","Mowca 2","On jedzie i potem jest tak, że ani inspekcja weterynaryjna nie chce pod to wystawić decyzji."
"37:28","Mowca 2","Przyjeżdża potem jakiś audytor i mówi, Ludzie, ale to w ogóle nie jest projekt."
"37:31","Mowca 0","Jeżeli przyjdzie inspekcja pracy, to zapewne, że czy wy odpowiadacie, nie?"
"37:37","Mowca 3","Właśnie chodzi o zatwierdzenie, to wy to wszystko piszecie i wy to zanosicie do powiatowego, czy my to zanosimy?"
"37:43","Mowca 2","Nie, nie ma problemu, jeśli może pan tak zrobić, że może pan napisać upoważnienie pisemne do reprezentacji firmy, ja załatwiam wszystko, natomiast w Łodzi to mamy takie trochę przetarte sztaki, żeby było szybciej, że Ja jadę z Panią Justyną do Pana Adama."
"38:02","Mowca 2","Pani Justyna przy mnie wszystko stawia."
"38:05","Mowca 1","Pismo my pomagamy, redagujemy."
"38:06","Mowca 2","My wszystko pismo zredagujemy, zawiedziemy."
"38:09","Mowca 2","Pan podpisuje, ja jadę z Panią Justyną."
"38:12","Mowca 2","Jeśli Pan Adam sobie życzy, żeby było spotkanie, to my jedziemy, jedziemy we dwójkę."
"38:16","Mowca 2","Ja reprezentuję tu firmę jako przedstawiciel."
"38:19","Mowca 2","Wiedzą, że my jeździmy, że przyjeżdżamy."
"38:21","Mowca 2","Kilkanaście tych projektów żeśmy..."
"38:24","Mowca 2","Znaczy Pani Justyna to wie chyba od 2005 roku tu w Łodzi."
"38:28","Mowca 2","Robimy jeszcze, jak Pani Maria pracowała, to..."
"38:32","Mowca 3","Jakie może mieć zastrzeżenie ogólnie?"
"38:37","Mowca 3","Bo tak na razie wszystko sielankowo nam wychodzi, bez problemu."
"38:40","Mowca 3","Nie wierzę, że wszystko da się."
"38:41","Mowca 3","Nie ma tu żadnych znaków zapytania lub wykrzykników, co może się nie udać?"
"38:45","Mowca 0","Na pewno tak, dobrostan."
"38:46","Mowca 0","Dużo się czepiłam na dobrostan."
"38:48","Mowca 3","Właśnie tak wszystko zasilankowo wychodzi i nie wierzę, że to wszystko będzie takie łatwe."
"38:53","Mowca 0","Generalnie też od razu nie podpisują."
"38:55","Mowca 3","Bardzo się rozgadajmy przy tym, bo ja bym bardzo chciał wiedzieć..."
"38:59","Mowca 2","Ja powiem panu tak."
"39:02","Mowca 0","Znają nasz zakład przede wszystkim."
"39:04","Mowca 2","Ja zajmuję się tym od tak naprawdę 2004 roku, firma powstała w 2005 roku."
"39:12","Mowca 2","Na terenie powiatu łódzkiego, nie wiem, był 60-70, czyli od Pana Zbyszka, co tam robiliśmy tych projektów, zrobiliśmy bardzo dużo."
"39:21","Mowca 2","Kiedyś było znacznie ciężej, znacznie gorzej, bo były niejasne przepisy zatwierdzania tych projektów, tak?"
"39:28","Mowca 2","Na dzień dzisiejszy jest w sposób jasny określone rozporządzenie, które określa, co w tym projekcie ma być i jak ma być ten projekt wykonany."
"39:36","Mowca 2","Inspekcja weterynaryjna ma 30 dni na rozpatrzenie państwa pisma o zatwierdzenie projektu i ma prawo wydać, tak jak każdy urząd, decyzję odmowną."
"39:48","Mowca 3","Okej."
"39:49","Mowca 2","Tylko chodzi mi, tylko..."
"39:50","Mowca 2","I wskaże ci co jest źle."
"39:51","Mowca 2","Ale musisz wskazać, co jest w tym procesie."
"39:52","Mowca 3","Ale okej."
"39:53","Mowca 2","Natomiast my jako, my jako firma pracująca na rynku i we wszystkich powiatach w Polsce, no z tak długim stażem, no robimy to, robimy to w ten sposób, żeby nigdy do takiej sytuacji, po pierwsze, nie doprowadzić, znaczy nigdy nie było, ale żeby nie doprowadzić."
"40:10","Mowca 2","I druga rzecz jest jeszcze taka, że ja mam zasadę taką, że jak narysuję część graficzną tego projektu, to również, żeby w powiatowym inspektoracie, żeby się na nas nie pogniewali, nie było jakiś ten, to ja dzwonię i proponuję spotkanie uzgadniające."
"40:23","Mowca 2","I oni mogą przyjechać nawet tu, możemy"
"40:25","Mowca 0","ich oprowadzić na żywo."
"40:28","Mowca 0","Bo tak można też zrobić i jak"
"40:30","Mowca 2","to wygląda w rzeczywistości."
"40:31","Mowca 2","Nawet nie chcą."
"40:31","Mowca 2","Chcą głównie, żeby pokazać jak to będzie wyglądało prawa."
"40:33","Mowca 3","A gdyby, panie Wojtku, no ja znam,"
"40:34","Mowca 0","że chcieliby i byli, nie?"
"40:35","Mowca 2","To można."
"40:36","Mowca 2","I my na to spotkanie przyjedziemy."
"40:38","Mowca 3","Tylko chodzi o to, że nie jestem dobrze zrozumiany."
"40:40","Mowca 3","Bo chodzi mi o to, że okej, są przepisy, tam jakoś wszystko jest jasne, ale dalej..."
"40:48","Mowca 3","Chciałbym zrozumieć czy, bo wszystko mówimy sobie sielankowo, zapłacimy, projekt będzie udany, wszystko bezproblemowo się uda."
"40:55","Mowca 3","Ale chodzi o to, że nie wierzę, że w tym zakładzie nie będzie jakiś przeszkód ku temu, żeby troszeczkę, że trzeba będzie to bardziej siłowo przepchnąć, czy będą jakieś problemy."
"41:04","Mowca 3","Właśnie o tych problemach, potencjalnych problemach, jakie mogą powstać."
"41:10","Mowca 2","Ja tylko może tak jeszcze na szybko powiem Państwu."
"41:12","Mowca 1","Jasne."
"41:14","Mowca 2","Tak jak panu mówiłem, od 2005 roku ja jeszcze nie byłem w żadnym zakładzie spożywczym, żeby nie było problemu."
"41:22","Mowca 3","No właśnie, i na przykład pan jak trochę..."
"41:25","Mowca 3","Bo pan przeszedł na zakładach mniej więcej, tak?"
"41:28","Mowca 3","Był pan tutaj."
"41:29","Mowca 3","No i tak jak już pan swoim okiem zalepnął, to gdzie pan widzi największy problem?"
"41:32","Mowca 2","Ale pan myśli, że zakłady wszystkie są w Polsce, że są święte, że w Europie..."
"41:37","Mowca 3","Nie, oczywiście, że nie."
"41:39","Mowca 2","Tylko chodzi o to, że sam..."
"41:41","Mowca 2","Tak,"
"41:41","Mowca 3","oczywiście, tylko chcę wiedzieć jak z waszej perspektywy, co u nas może być ciężkiego do wyprostowania, ale wyprostuje się nam."
"41:48","Mowca 1","Z naszej perspektywy jest tak, że będzie to sielankowo i jeśli są uwagi, tak jak to co Wojtek próbował powiedzieć, że znamy się z weterynarią i tutaj powiecie tyle lat, że jeśli będą jakieś uwagi, to oni wiedzą, że te uwagi oni nam przekażą tu ustnie, tak?"
"42:04","Mowca 1","My to ustalimy z właścicielami i te uwagi będą drobne naniesienia, nie będzie to drogą służbową, tak?"
"42:10","Mowca 1","Nie będzie decyzji, odmowy, pisma, bo im się też tego nie chce pisać, tak?"
"42:14","Mowca 2","To będą drobne uwagi, ustne..."
"42:15","Mowca 2","My się dogadujemy tam."
"42:17","Mowca 2","Czyli poprawki na telefon."
"42:20","Mowca 2","Tak, jest tu problem w tej części, bo tu się krzyżuje."
"42:25","Mowca 0","Muszę"
"42:32","Mowca 3","zastopować, bo znowu..."
"42:34","Mowca 3","Krążymy, bo nie rozumiecie o co mi chodzi."
"42:37","Mowca 3","Bo chodzi o to, że już Józyna widzi o co mi chodzi."
"42:39","Mowca 3","Chodzi o to, że Józyna daje już znak, że u nas z Mejką może być problem."
"42:43","Mowca 3","I chciałbym usłyszeć to od was, jeżeli tak przeszliście nasz zakład."
"42:47","Mowca 3","Widzicie, mniej więcej przeszliście go."
"42:49","Mowca 2","Ale Mejkę uzgadnialiśmy, że będziemy ją modernizować."
"42:53","Mowca 2","I byliśmy tam, oglądaliśmy możliwości, świetne możliwości modernizacji."
"42:57","Mowca 2","My będąc na dole na myjni, podpowiedzieliśmy panu dwa rozwiązania, które jak pan delikatnie zrobi ścianami, to ta myjnia spełni wszelkie oczekiwania weterynarne."
"43:06","Mowca 3","Ale teraz jest w stanie dosyć ciężkim."
"43:09","Mowca 2","No jest dosyć ciężkim."
"43:10","Mowca 2","Ale można spokojnie ten stan poprawić po drugie."
"43:15","Mowca 1","To będzie na etapie projektowania, tak?"
"43:17","Mowca 1","Nie jak damy im do..."
"43:18","Mowca 2","Po drugie, musi pan wiedzieć jedną rzecz."
"43:20","Mowca 2","że tu nie wybuchnie problem jakiś."
"43:24","Mowca 2","Bo on nie może wybuchnąć, bo zakład jest pod nadzorem ile?"
"43:27","Mowca 2","Trzydzieści czterdzieści lat."
"43:28","Mowca 3","Ale dalej nie."
"43:29","Mowca 3","Znowu mnie Pan źle rozumie."
"43:32","Mowca 3","Może już nie będę dążył do tego tematu, ale tylko powiem od Ciebie."
"43:35","Mowca 3","Chodziło mi o to, że przeszliście na zakład."
"43:39","Mowca 3","I chodzi o to, że spojrzeliście."
"43:40","Mowca 3","Ta myjka jest przykładem."
"43:42","Mowca 2","I tak chciałem jeszcze..."
"43:43","Mowca 2","I jest możliwość rozwiązania tego problemu."
"43:45","Mowca 3","I my to rozwiązanie zamknęliśmy."
"43:45","Mowca 3","I znowu Pan..."
"43:47","Mowca 3","Znowu pan idzie w bok."
"43:48","Mowca 3","Chodzi o to tylko, że chciałbym wasze uwagi, co w tym zakładzie jest takiego..."
"43:52","Mowca 3","Chodzi o to, że próbuję, żebyście mi pokazali gdzieś tam nasze największe błędy, wady, które będą ciężkie do zrobienia, ale ja wiem, że znowu mi powiecie, że panie Sergiuszu, niech się pan nie martwi, zrobimy to."
"44:02","Mowca 3","Okej, ja to mam tego świadomość, tylko żebyście mi powiedzieli, co może być..."
"44:07","Mowca 3","Jak już tak patrzycie na ten zakład, co największym wyzwaniem i wiem, że to naprawicie, ale to nie jest tak, że ja się pytam, bo ja się wycofam."
